Gene,Log2FC,p-value,adj_p-value,Significant,-log10(p-value)
TTC7A,-1.2850628011354992,0.0031059435003227714,,False,2.5078064487108818
MCFD2,-0.7939365584295484,0.030205713328501273,,False,1.5199109036533078
SOCS5,-0.042449786124956645,0.8429987629623013,,False,0.07417306266949332
LOC121928612,-1.0000000000000004,0.04611042450510016,,False,1.3362008795291525
LOC121920008,-1.6724253419714956,0.015542962281596927,,False,1.8084662069026416
CRIPT,0.5088363280602781,0.12518975873615004,,False,0.9024311975337193
PIGF,-0.1320149156540582,0.5202922200301273,,False,0.28375266809444327
RHOQ,-0.2778031099464213,0.3516483194269694,,False,0.4538914537953999
LOC121928811,-0.16992500144231243,0.73417379402321,,False,0.13420112148584837
LOC121930493,0.0,,,False,
LOC121920786,0.0,,,False,
EPAS1,-0.31515023411238197,0.29990342715181223,,False,0.5230185713041062
LOC121920790,0.22239242133644802,0.36321746764912255,,False,0.43983327380401
PRKCE,-0.6119699356243382,0.04591439909685597,,False,1.3380510951241227
LOC121924443,0.0,,,False,
SRBD1,-0.9035077991537737,0.00888160237393978,,False,2.051508673930787
LOC121919779,0.0,,,False,
SIX2,1.0,0.0755868184216124,,False,1.1215539344709007
SIX3,-0.41503749927884376,0.36321746764912255,,False,0.43983327380401
CAMKMT,1.4677537391890692,0.011497088701705856,,False,1.9394121179813302
LOC121925898,-0.22239242133644802,0.36321746764912255,,False,0.43983327380401
PREPL,-1.0038467227855392,0.002372074145367389,,False,2.624871740088277
SLC3A1,-1.5272470028648688,0.08173005882037733,,False,1.0876181885233127
PPM1B,-0.2226521420415235,0.2672735669548111,,False,0.5730439903392821
LOC121919378,-0.18057224564182128,0.7243705679434788,,False,0.14003920391211017
LOC121929638,0.0,,,False,
LRPPRC,0.16228296639800455,0.416453693667722,,False,0.380433281658424
ABCG8,-3.273018494406416,0.14171608431505844,,False,0.8485808559427019
ABCG5,-3.0874628412503395,0.22820350563018474,,False,0.6416776882957589
DYNC2LI1,0.002099993152283375,0.9923484250515235,,False,0.0033358152357592374
PLEKHH2,0.648467952238903,0.029725968556628773,,False,1.526863985928904
LOC121935156,0.0,,,False,
THADA,-0.0023332000355846816,0.9936403493994492,,False,0.0027707811311327287
ZFP36L2,0.35042611002926893,0.3222755427969566,,False,0.4917726514574058
LOC121932257,-0.05466729546337312,0.8583447907096403,,False,0.06633822424486328
TRNAI-UAU,-2.0,0.04458482350979883,,False,1.3508129481848896
HAAO,-0.9350939449970532,0.10211206803725835,,False,0.9909229281161274
LOC121928922,0.0,,,False,
MTA3,0.7954248284506278,0.050258657848216426,,False,1.2987891133736937
KCNG3,4.840966704487421,0.015368756584062872,,False,1.8133612678629376
LOC121919121,0.3638791616814814,0.28204078212874106,,False,0.5496880896490676
LOC121935647,0.0,,,False,
LOC121919621,-1.115477217419936,0.1800903192179753,,False,0.7445096321177985
EML4,0.39251838898834635,0.1647570351536998,,False,0.7831560318890438
LOC121919474,0.0,,,False,
LOC121919669,0.0,,,False,
PKDCC,1.3055025469742514,0.008739946619659291,,False,2.058491219866536
LOC121914598,0.0,,,False,
BICRAL,-0.686080127905285,0.0028622385480905404,,False,2.5432941735804047
TBCC,0.22239242133644765,0.7299560229980877,,False,0.13670330363922736
PRPH2,-0.41503749927884376,0.36321746764912255,,False,0.43983327380401
